Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([56]), u'n_hidden_layers': array([7]), u'learning_rate': array([ 1.]), u'beta': array([ 0.1])}
('Epoch:', '0089', 'training cost=', '0.657134874')
('Epoch:', '0089', 'test cost=', '0.645363986')
('Epoch:', '0090', 'training cost=', '0.657435759')
('Epoch:', '0090', 'test cost=', '0.669075310')
('Epoch:', '0091', 'training cost=', '0.659633701')
('Epoch:', '0091', 'test cost=', '0.644631267')
('Epoch:', '0092', 'training cost=', '0.654828619')
('Epoch:', '0092', 'test cost=', '0.672247052')
('Epoch:', '0093', 'training cost=', '0.657749967')
('Epoch:', '0093', 'test cost=', '0.712507010')
('Epoch:', '0094', 'training cost=', '0.651843336')
('Epoch:', '0094', 'test cost=', '0.646995008')
('Epoch:', '0095', 'training cost=', '0.656531054')
('Epoch:', '0095', 'test cost=', '0.692656517')
('Epoch:', '0096', 'training cost=', '0.657373127')
('Epoch:', '0096', 'test cost=', '0.641759336')
('Epoch:', '0097', 'training cost=', '0.658954580')
('Epoch:', '0097', 'test cost=', '0.752028346')
('Epoch:', '0098', 'training cost=', '1752.969350569')
('Epoch:', '0098', 'test cost=', '0.658753932')
('Epoch:', '0099', 'training cost=', '0.656012890')
('Epoch:', '0099', 'test cost=', '0.664527118')
('Epoch:', '0100', 'training cost=', '0.657177412')
('Epoch:', '0100', 'test cost=', '0.650258958')
('Epoch:', '0101', 'training cost=', '0.655184355')
('Epoch:', '0101', 'test cost=', '0.665757179')
('Epoch:', '0102', 'training cost=', '0.652872926')
('Epoch:', '0102', 'test cost=', '0.664904594')
('Epoch:', '0103', 'training cost=', '0.662212268')
('Epoch:', '0103', 'test cost=', '0.670848846')
('Epoch:', '0104', 'training cost=', '0.655658895')
('Epoch:', '0104', 'test cost=', '0.640887320')
('Epoch:', '0105', 'training cost=', '0.653889910')
('Epoch:', '0105', 'test cost=', '0.753247559')
('Epoch:', '0106', 'training cost=', '0.654987508')
('Epoch:', '0106', 'test cost=', '0.660759389')
('Epoch:', '0107', 'training cost=', '0.654058033')
('Epoch:', '0107', 'test cost=', '0.650409520')
('Epoch:', '0108', 'training cost=', '0.655393551')
('Epoch:', '0108', 'test cost=', '0.640933990')
('Epoch:', '0109', 'training cost=', '0.658687009')
('Epoch:', '0109', 'test cost=', '0.645343482')
('Epoch:', '0110', 'training cost=', '158521.713153987')
('Epoch:', '0110', 'test cost=', '0.662621737')
('Epoch:', '0111', 'training cost=', '0.655997383')
('Epoch:', '0111', 'test cost=', '0.652297080')
('Epoch:', '0112', 'training cost=', '0.654558054')
('Epoch:', '0112', 'test cost=', '0.647214472')
('Epoch:', '0113', 'training cost=', '0.654033314')
('Epoch:', '0113', 'test cost=', '0.658134639')
('Epoch:', '0114', 'training cost=', '0.655028505')
('Epoch:', '0114', 'test cost=', '0.661619186')
('Epoch:', '0115', 'training cost=', '0.658224148')
('Epoch:', '0115', 'test cost=', '0.648473561')
('Epoch:', '0116', 'training cost=', '0.658926928')
('Epoch:', '0116', 'test cost=', '0.641000509')
('Epoch:', '0117', 'training cost=', '0.657310821')
('Epoch:', '0117', 'test cost=', '0.641035378')
('Epoch:', '0118', 'training cost=', '393.096493566')
('Epoch:', '0118', 'test cost=', '0.671994150')
('Epoch:', '0119', 'training cost=', '0.657134797')
('Epoch:', '0119', 'test cost=', '0.719090879')
('Epoch:', '0120', 'training cost=', '0.658581646')
('Epoch:', '0120', 'test cost=', '0.642552912')
('Epoch:', '0121', 'training cost=', '0.658511026')
('Epoch:', '0121', 'test cost=', '0.641059637')
('Epoch:', '0122', 'training cost=', '0.656603309')
('Epoch:', '0122', 'test cost=', '0.646465480')
('Epoch:', '0123', 'training cost=', '0.654157433')
('Epoch:', '0123', 'test cost=', '0.661061227')
('Epoch:', '0124', 'training cost=', '0.655712394')
('Epoch:', '0124', 'test cost=', '0.654657423')
('Epoch:', '0125', 'training cost=', '0.655414506')
('Epoch:', '0125', 'test cost=', '0.644360423')
('Epoch:', '0126', 'training cost=', '0.659474048')
('Epoch:', '0126', 'test cost=', '0.666167021')
('Epoch:', '0127', 'training cost=', '0.656221368')
('Epoch:', '0127', 'test cost=', '0.666675925')
('Epoch:', '0128', 'training cost=', '0.657325557')
('Epoch:', '0128', 'test cost=', '0.680077732')
('Epoch:', '0129', 'training cost=', '0.661552253')
('Epoch:', '0129', 'test cost=', '0.696012378')
('Epoch:', '0130', 'training cost=', '0.655233401')
('Epoch:', '0130', 'test cost=', '0.650650501')
('Epoch:', '0131', 'training cost=', '0.657586721')
('Epoch:', '0131', 'test cost=', '0.649425924')
('Epoch:', '0132', 'training cost=', '0.653577845')
('Epoch:', '0132', 'test cost=', '0.642150223')
('Epoch:', '0133', 'training cost=', '0.653431538')
('Epoch:', '0133', 'test cost=', '0.641934156')
('Epoch:', '0134', 'training cost=', '0.653828167')
('Epoch:', '0134', 'test cost=', '0.647124052')
('Epoch:', '0135', 'training cost=', '0.656653083')
('Epoch:', '0135', 'test cost=', '0.660661936')
('Epoch:', '0136', 'training cost=', '0.655598803')
('Epoch:', '0136', 'test cost=', '0.644068956')
('Epoch:', '0137', 'training cost=', '0.654581945')
('Epoch:', '0137', 'test cost=', '0.669192553')
('Epoch:', '0138', 'training cost=', '0.652233088')
('Epoch:', '0138', 'test cost=', '0.666067243')
('Epoch:', '0139', 'training cost=', '0.661608730')
('Epoch:', '0139', 'test cost=', '0.654347360')
('Epoch:', '0140', 'training cost=', '0.658118840')
('Epoch:', '0140', 'test cost=', '0.642321706')
('Epoch:', '0141', 'training cost=', '0.655215986')
('Epoch:', '0141', 'test cost=', '0.655409634')
('Epoch:', '0142', 'training cost=', '0.658163747')
('Epoch:', '0142', 'test cost=', '0.668964267')
('Epoch:', '0143', 'training cost=', '0.658997412')
('Epoch:', '0143', 'test cost=', '0.660234630')
('Epoch:', '0144', 'training cost=', '0.661166440')
('Epoch:', '0144', 'test cost=', '0.642587423')
('Epoch:', '0145', 'training cost=', '0.651785690')
('Epoch:', '0145', 'test cost=', '0.686656356')
('Epoch:', '0146', 'training cost=', '0.657472295')
('Epoch:', '0146', 'test cost=', '0.668719947')
('Epoch:', '0147', 'training cost=', '0.656666681')
('Epoch:', '0147', 'test cost=', '0.641014636')
('Epoch:', '0148', 'training cost=', '0.659986595')
('Epoch:', '0148', 'test cost=', '0.647740483')
('Epoch:', '0149', 'training cost=', '0.655885738')
('Epoch:', '0149', 'test cost=', '0.649523616')
('Epoch:', '0150', 'training cost=', '0.658272817')
('Epoch:', '0150', 'test cost=', '0.663960814')
('Epoch:', '0151', 'training cost=', '0.655291155')
('Epoch:', '0151', 'test cost=', '0.645030558')
('Epoch:', '0152', 'training cost=', '0.653058638')
('Epoch:', '0152', 'test cost=', '0.643641591')
('Epoch:', '0153', 'training cost=', '0.656325529')
('Epoch:', '0153', 'test cost=', '0.660283744')
('Epoch:', '0154', 'training cost=', '0.657312564')
('Epoch:', '0154', 'test cost=', '0.645702958')
('Epoch:', '0155', 'training cost=', '0.655848457')
('Epoch:', '0155', 'test cost=', '0.659004629')
('Epoch:', '0156', 'training cost=', '0.657661904')
('Epoch:', '0156', 'test cost=', '0.640855014')
('Epoch:', '0157', 'training cost=', '0.655964592')
('Epoch:', '0157', 'test cost=', '0.640877068')
('Epoch:', '0158', 'training cost=', '0.660052424')
('Epoch:', '0158', 'test cost=', '0.657924294')
('Epoch:', '0159', 'training cost=', '0.655561451')
('Epoch:', '0159', 'test cost=', '0.777791083')
('Epoch:', '0160', 'training cost=', '0.655540798')
('Epoch:', '0160', 'test cost=', '0.641770720')
('Epoch:', '0161', 'training cost=', '0.653466432')
('Epoch:', '0161', 'test cost=', '0.706983805')
('Epoch:', '0162', 'training cost=', '0.659041978')
('Epoch:', '0162', 'test cost=', '0.640888929')
('Epoch:', '0163', 'training cost=', '0.655109182')
('Epoch:', '0163', 'test cost=', '0.643734396')
('Epoch:', '0164', 'training cost=', '0.655431054')
('Epoch:', '0164', 'test cost=', '0.647509992')
('Epoch:', '0165', 'training cost=', '0.653705829')
('Epoch:', '0165', 'test cost=', '0.658602417')
('Epoch:', '0166', 'training cost=', '0.657860634')
('Epoch:', '0166', 'test cost=', '0.671748042')
('Epoch:', '0167', 'training cost=', '0.658597260')
('Epoch:', '0167', 'test cost=', '0.643976688')
('Epoch:', '0168', 'training cost=', '0.654065066')
('Epoch:', '0168', 'test cost=', '0.641306460')
('Epoch:', '0169', 'training cost=', '0.657089159')
('Epoch:', '0169', 'test cost=', '0.689973652')
('Epoch:', '0170', 'training cost=', '0.656561999')
('Epoch:', '0170', 'test cost=', '0.647144616')
('Epoch:', '0171', 'training cost=', '0.658536623')
('Epoch:', '0171', 'test cost=', '0.640836596')
('Epoch:', '0172', 'training cost=', '0.659314067')
('Epoch:', '0172', 'test cost=', '0.677158356')
('Epoch:', '0173', 'training cost=', '0.655389417')
('Epoch:', '0173', 'test cost=', '0.662891626')
('Epoch:', '0174', 'training cost=', '0.654599026')
('Epoch:', '0174', 'test cost=', '0.673170507')
('Epoch:', '0175', 'training cost=', '0.654460763')
('Epoch:', '0175', 'test cost=', '0.641089678')
('Epoch:', '0176', 'training cost=', '0.657425531')
('Epoch:', '0176', 'test cost=', '0.645539165')
('Epoch:', '0177', 'training cost=', '0.655996854')
('Epoch:', '0177', 'test cost=', '0.649105787')
('Epoch:', '0178', 'training cost=', '0.653293528')
('Epoch:', '0178', 'test cost=', '0.653491020')
('Epoch:', '0179', 'training cost=', '0.658091205')
('Epoch:', '0179', 'test cost=', '0.640955687')
('Epoch:', '0180', 'training cost=', '0.661785654')
('Epoch:', '0180', 'test cost=', '0.707529306')
('Epoch:', '0181', 'training cost=', '0.654506648')
('Epoch:', '0181', 'test cost=', '0.661566377')
('Epoch:', '0182', 'training cost=', '0.656102803')
('Epoch:', '0182', 'test cost=', '0.645047665')
('Epoch:', '0183', 'training cost=', '0.658645482')
('Epoch:', '0183', 'test cost=', '0.641013384')
('Epoch:', '0184', 'training cost=', '0.655339297')
('Epoch:', '0184', 'test cost=', '0.640792847')
('Epoch:', '0185', 'training cost=', '0.652273766')
('Epoch:', '0185', 'test cost=', '0.651506543')
('Epoch:', '0186', 'training cost=', '0.656359689')
('Epoch:', '0186', 'test cost=', '0.640823126')
('Epoch:', '0187', 'training cost=', '0.658400162')
('Epoch:', '0187', 'test cost=', '0.641443193')
('Epoch:', '0188', 'training cost=', '0.655541556')
('Epoch:', '0188', 'test cost=', '0.655100703')
('Epoch:', '0189', 'training cost=', '0.658067123')
('Epoch:', '0189', 'test cost=', '0.644502640')
('Epoch:', '0190', 'training cost=', '0.658009411')
('Epoch:', '0190', 'test cost=', '0.651725471')
('Epoch:', '0191', 'training cost=', '0.657858014')
('Epoch:', '0191', 'test cost=', '0.668721318')
('Epoch:', '0192', 'training cost=', '0.653675063')
('Epoch:', '0192', 'test cost=', '0.666235447')
('Epoch:', '0193', 'training cost=', '0.655978593')
('Epoch:', '0193', 'test cost=', '0.640812278')
('Epoch:', '0194', 'training cost=', '0.657939864')
('Epoch:', '0194', 'test cost=', '0.641227722')
('Epoch:', '0195', 'training cost=', '0.654699566')
('Epoch:', '0195', 'test cost=', '0.651961446')
('Epoch:', '0196', 'training cost=', '0.653131152')
('Epoch:', '0196', 'test cost=', '0.657356858')
('Epoch:', '0197', 'training cost=', '0.656479335')
('Epoch:', '0197', 'test cost=', '0.640805423')
('Epoch:', '0198', 'training cost=', '0.658090371')
('Epoch:', '0198', 'test cost=', '0.641759157')
('Epoch:', '0199', 'training cost=', '0.655866362')
('Epoch:', '0199', 'test cost=', '0.667526543')
('Epoch:', '0200', 'training cost=', '0.658300669')
('Epoch:', '0200', 'test cost=', '0.642849505')
('Epoch:', '0201', 'training cost=', '0.659130024')
('Epoch:', '0201', 'test cost=', '0.688971281')
('Epoch:', '0202', 'training cost=', '0.659041032')
('Epoch:', '0202', 'test cost=', '0.654158115')
('Epoch:', '0203', 'training cost=', '0.655784889')
('Epoch:', '0203', 'test cost=', '0.649666727')
('Epoch:', '0204', 'training cost=', '0.654779122')
('Epoch:', '0204', 'test cost=', '0.642473161')
('Epoch:', '0205', 'training cost=', '0.658153138')
('Epoch:', '0205', 'test cost=', '0.664107740')
('Epoch:', '0206', 'training cost=', '0.656389356')
('Epoch:', '0206', 'test cost=', '0.663243532')
('Epoch:', '0207', 'training cost=', '0.654890341')
('Epoch:', '0207', 'test cost=', '0.648365200')
('Epoch:', '0208', 'training cost=', '0.659355068')
('Epoch:', '0208', 'test cost=', '0.722455621')
('Epoch:', '0209', 'training cost=', '0.658620241')
('Epoch:', '0209', 'test cost=', '0.679933369')
('Epoch:', '0210', 'training cost=', '0.656823729')
('Epoch:', '0210', 'test cost=', '0.657607496')
('Epoch:', '0211', 'training cost=', '0.657755693')
('Epoch:', '0211', 'test cost=', '0.654399991')
('Epoch:', '0212', 'training cost=', '0.654159684')
('Epoch:', '0212', 'test cost=', '0.663762689')
('Epoch:', '0213', 'training cost=', '0.655748850')
('Epoch:', '0213', 'test cost=', '0.645460606')
('Epoch:', '0214', 'training cost=', '0.658182322')
('Epoch:', '0214', 'test cost=', '0.645508289')
('Epoch:', '0215', 'training cost=', '0.655379566')
('Epoch:', '0215', 'test cost=', '0.642946303')
('Epoch:', '0216', 'training cost=', '0.654753772')
('Epoch:', '0216', 'test cost=', '0.650268912')
('Epoch:', '0217', 'training cost=', '0.654110214')
('Epoch:', '0217', 'test cost=', '0.642217398')
('Epoch:', '0218', 'training cost=', '0.653073581')
('Epoch:', '0218', 'test cost=', '0.653594911')
('Epoch:', '0219', 'training cost=', '0.654220977')
('Epoch:', '0219', 'test cost=', '0.650118053')
('Epoch:', '0220', 'training cost=', '0.657818419')
('Epoch:', '0220', 'test cost=', '0.718146265')
('Epoch:', '0221', 'training cost=', '0.655578540')
('Epoch:', '0221', 'test cost=', '0.641811848')
('Epoch:', '0222', 'training cost=', '0.654999489')
('Epoch:', '0222', 'test cost=', '0.647289038')
('Epoch:', '0223', 'training cost=', '0.654330520')
('Epoch:', '0223', 'test cost=', '0.641280234')
('Epoch:', '0224', 'training cost=', '0.657841912')
('Epoch:', '0224', 'test cost=', '0.648820400')
('Epoch:', '0225', 'training cost=', '0.661813383')
('Epoch:', '0225', 'test cost=', '0.677474797')
('Epoch:', '0226', 'training cost=', '0.654023440')
('Epoch:', '0226', 'test cost=', '0.687316775')
('Epoch:', '0227', 'training cost=', '0.654696949')
('Epoch:', '0227', 'test cost=', '0.667661011')
('Epoch:', '0228', 'training cost=', '0.657863953')
('Epoch:', '0228', 'test cost=', '0.654974282')
('Epoch:', '0229', 'training cost=', '0.657357353')
('Epoch:', '0229', 'test cost=', '0.646990836')
('Epoch:', '0230', 'training cost=', '0.659741916')
('Epoch:', '0230', 'test cost=', '0.642892182')
('Epoch:', '0231', 'training cost=', '0.654216466')
('Epoch:', '0231', 'test cost=', '0.646171272')
('Epoch:', '0232', 'training cost=', '0.653528845')
('Epoch:', '0232', 'test cost=', '0.643356621')
('Epoch:', '0233', 'training cost=', '0.657397374')
('Epoch:', '0233', 'test cost=', '0.641055167')
('Epoch:', '0234', 'training cost=', '0.655339589')
('Epoch:', '0234', 'test cost=', '0.642470300')
('Epoch:', '0235', 'training cost=', '0.657575925')
('Epoch:', '0235', 'test cost=', '0.641470730')
('Epoch:', '0236', 'training cost=', '0.658120408')
('Epoch:', '0236', 'test cost=', '0.640839279')
('Epoch:', '0237', 'training cost=', '0.650343698')
('Epoch:', '0237', 'test cost=', '0.647670388')
('Epoch:', '0238', 'training cost=', '0.656289751')
('Epoch:', '0238', 'test cost=', '0.640838981')
('Epoch:', '0239', 'training cost=', '0.657291121')
('Epoch:', '0239', 'test cost=', '0.703304648')
('Epoch:', '0240', 'training cost=', '0.659383599')
('Epoch:', '0240', 'test cost=', '0.645988643')
('Epoch:', '0241', 'training cost=', '0.658514431')
('Epoch:', '0241', 'test cost=', '0.643513024')
('Epoch:', '0242', 'training cost=', '0.660154637')
('Epoch:', '0242', 'test cost=', '0.645501792')
('Epoch:', '0243', 'training cost=', '0.658713158')
('Epoch:', '0243', 'test cost=', '0.655305088')
('Epoch:', '0244', 'training cost=', '0.656111302')
('Epoch:', '0244', 'test cost=', '0.653269529')
('Epoch:', '0245', 'training cost=', '0.657667429')
