Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([366]), u'n_hidden_layers': array([2]), u'learning_rate': array([ 0.0001]), u'beta': array([ 100.])}
('Epoch:', '0020', 'test cost=', '0.640879393')
('Epoch:', '0021', 'training cost=', '0.642338990')
('Epoch:', '0021', 'test cost=', '0.640803397')
('Epoch:', '0022', 'training cost=', '0.644125800')
('Epoch:', '0022', 'test cost=', '0.640799880')
('Epoch:', '0023', 'training cost=', '0.641860382')
('Epoch:', '0023', 'test cost=', '0.640811324')
('Epoch:', '0024', 'training cost=', '0.643782603')
('Epoch:', '0024', 'test cost=', '0.640807807')
('Epoch:', '0025', 'training cost=', '0.641475715')
('Epoch:', '0025', 'test cost=', '0.640840650')
('Epoch:', '0026', 'training cost=', '0.642290599')
('Epoch:', '0026', 'test cost=', '0.640835524')
('Epoch:', '0027', 'training cost=', '0.643666566')
('Epoch:', '0027', 'test cost=', '0.640777469')
('Epoch:', '0028', 'training cost=', '0.641940979')
('Epoch:', '0028', 'test cost=', '0.640792251')
('Epoch:', '0029', 'training cost=', '0.643545628')
('Epoch:', '0029', 'test cost=', '0.640820920')
('Epoch:', '0030', 'training cost=', '0.640597190')
('Epoch:', '0030', 'test cost=', '0.640787184')
('Epoch:', '0031', 'training cost=', '0.644042423')
('Epoch:', '0031', 'test cost=', '0.640790999')
('Epoch:', '0032', 'training cost=', '0.643156052')
('Epoch:', '0032', 'test cost=', '0.640826225')
('Epoch:', '0033', 'training cost=', '0.642364126')
('Epoch:', '0033', 'test cost=', '0.640829980')
('Epoch:', '0034', 'training cost=', '0.641578272')
('Epoch:', '0034', 'test cost=', '0.640809238')
('Epoch:', '0035', 'training cost=', '0.641638195')
('Epoch:', '0035', 'test cost=', '0.640799642')
('Epoch:', '0036', 'training cost=', '0.642175986')
('Epoch:', '0036', 'test cost=', '0.640809298')
('Epoch:', '0037', 'training cost=', '0.644343629')
('Epoch:', '0037', 'test cost=', '0.640848637')
('Epoch:', '0038', 'training cost=', '0.642290072')
('Epoch:', '0038', 'test cost=', '0.640847564')
('Epoch:', '0039', 'training cost=', '0.641871005')
('Epoch:', '0039', 'test cost=', '0.640834987')
('Epoch:', '0040', 'training cost=', '0.642339130')
('Epoch:', '0040', 'test cost=', '0.640858054')
('Epoch:', '0041', 'training cost=', '0.642941137')
('Epoch:', '0041', 'test cost=', '0.640814424')
('Epoch:', '0042', 'training cost=', '0.643944923')
('Epoch:', '0042', 'test cost=', '0.640921891')
('Epoch:', '0043', 'training cost=', '0.641885586')
('Epoch:', '0043', 'test cost=', '0.640889525')
('Epoch:', '0044', 'training cost=', '0.641869489')
('Epoch:', '0044', 'test cost=', '0.640805125')
('Epoch:', '0045', 'training cost=', '0.643201197')
('Epoch:', '0045', 'test cost=', '0.640799880')
('Epoch:', '0046', 'training cost=', '0.641437598')
('Epoch:', '0046', 'test cost=', '0.640859187')
('Epoch:', '0047', 'training cost=', '0.646144446')
('Epoch:', '0047', 'test cost=', '0.640816092')
('Epoch:', '0048', 'training cost=', '0.641188542')
('Epoch:', '0048', 'test cost=', '0.640811324')
('Epoch:', '0049', 'training cost=', '0.641010193')
('Epoch:', '0049', 'test cost=', '0.640824974')
('Epoch:', '0050', 'training cost=', '0.643420505')
('Epoch:', '0050', 'test cost=', '0.640883207')
('Epoch:', '0051', 'training cost=', '0.643376953')
('Epoch:', '0051', 'test cost=', '0.640820265')
('Epoch:', '0052', 'training cost=', '0.644097646')
('Epoch:', '0052', 'test cost=', '0.640879571')
('Epoch:', '0053', 'training cost=', '0.643286035')
('Epoch:', '0053', 'test cost=', '0.640853047')
('Epoch:', '0054', 'training cost=', '0.642728929')
('Epoch:', '0054', 'test cost=', '0.640813529')
('Epoch:', '0055', 'training cost=', '0.642095743')
('Epoch:', '0055', 'test cost=', '0.640824497')
('Epoch:', '0056', 'training cost=', '0.642242987')
('Epoch:', '0056', 'test cost=', '0.640774786')
('Epoch:', '0057', 'training cost=', '0.644838820')
('Epoch:', '0057', 'test cost=', '0.640779078')
('Epoch:', '0058', 'training cost=', '0.642748062')
('Epoch:', '0058', 'test cost=', '0.640867710')
('Epoch:', '0059', 'training cost=', '0.641209958')
('Epoch:', '0059', 'test cost=', '0.640799165')
('Epoch:', '0060', 'training cost=', '0.643768125')
('Epoch:', '0060', 'test cost=', '0.640805066')
('Epoch:', '0061', 'training cost=', '0.643176378')
('Epoch:', '0061', 'test cost=', '0.640885949')
('Epoch:', '0062', 'training cost=', '0.641972752')
('Epoch:', '0062', 'test cost=', '0.640829444')
('Epoch:', '0063', 'training cost=', '0.643176177')
('Epoch:', '0063', 'test cost=', '0.640883088')
('Epoch:', '0064', 'training cost=', '0.641728698')
('Epoch:', '0064', 'test cost=', '0.640852928')
('Epoch:', '0065', 'training cost=', '0.642217375')
('Epoch:', '0065', 'test cost=', '0.640829086')
('Epoch:', '0066', 'training cost=', '0.639835349')
('Epoch:', '0066', 'test cost=', '0.640788257')
('Epoch:', '0067', 'training cost=', '0.642798118')
('Epoch:', '0067', 'test cost=', '0.640766680')
('Epoch:', '0068', 'training cost=', '0.642240223')
('Epoch:', '0068', 'test cost=', '0.640810132')
('Epoch:', '0069', 'training cost=', '0.641260615')
('Epoch:', '0069', 'test cost=', '0.640816808')
('Epoch:', '0070', 'training cost=', '0.641601225')
('Epoch:', '0070', 'test cost=', '0.640775979')
('Epoch:', '0071', 'training cost=', '0.643550446')
('Epoch:', '0071', 'test cost=', '0.640926540')
('Epoch:', '0072', 'training cost=', '0.639451783')
('Epoch:', '0072', 'test cost=', '0.640840709')
('Epoch:', '0073', 'training cost=', '0.642301755')
('Epoch:', '0073', 'test cost=', '0.640785635')
('Epoch:', '0074', 'training cost=', '0.642288149')
('Epoch:', '0074', 'test cost=', '0.640854776')
('Epoch:', '0075', 'training cost=', '0.641869449')
('Epoch:', '0075', 'test cost=', '0.640796900')
('Epoch:', '0076', 'training cost=', '0.642843417')
('Epoch:', '0076', 'test cost=', '0.640855849')
('Epoch:', '0077', 'training cost=', '0.643319602')
('Epoch:', '0077', 'test cost=', '0.640835047')
('Epoch:', '0078', 'training cost=', '0.642105146')
('Epoch:', '0078', 'test cost=', '0.640844882')
('Epoch:', '0079', 'training cost=', '0.642115711')
('Epoch:', '0079', 'test cost=', '0.640882432')
('Epoch:', '0080', 'training cost=', '0.641798843')
('Epoch:', '0080', 'test cost=', '0.640784383')
('Epoch:', '0081', 'training cost=', '0.643600704')
('Epoch:', '0081', 'test cost=', '0.640852928')
('Epoch:', '0082', 'training cost=', '0.641791882')
('Epoch:', '0082', 'test cost=', '0.640799463')
('Epoch:', '0083', 'training cost=', '0.642422832')
('Epoch:', '0083', 'test cost=', '0.640826762')
('Epoch:', '0084', 'training cost=', '0.642881777')
('Epoch:', '0084', 'test cost=', '0.640833378')
('Epoch:', '0085', 'training cost=', '0.641639060')
('Epoch:', '0085', 'test cost=', '0.640803993')
('Epoch:', '0086', 'training cost=', '0.641758324')
('Epoch:', '0086', 'test cost=', '0.640852988')
('Epoch:', '0087', 'training cost=', '0.641336322')
('Epoch:', '0087', 'test cost=', '0.640900195')
('Epoch:', '0088', 'training cost=', '0.642780370')
('Epoch:', '0088', 'test cost=', '0.640816867')
('Epoch:', '0089', 'training cost=', '0.642761599')
('Epoch:', '0089', 'test cost=', '0.640787601')
('Epoch:', '0090', 'training cost=', '0.642191642')
('Epoch:', '0090', 'test cost=', '0.640809476')
('Epoch:', '0091', 'training cost=', '0.644123681')
('Epoch:', '0091', 'test cost=', '0.640830398')
('Epoch:', '0092', 'training cost=', '0.642263953')
('Epoch:', '0092', 'test cost=', '0.640805960')
('Epoch:', '0093', 'training cost=', '0.641973321')
('Epoch:', '0093', 'test cost=', '0.640862823')
('Epoch:', '0094', 'training cost=', '0.642912051')
('Epoch:', '0094', 'test cost=', '0.640796125')
('Epoch:', '0095', 'training cost=', '0.642118888')
('Epoch:', '0095', 'test cost=', '0.640850842')
('Epoch:', '0096', 'training cost=', '0.644378743')
('Epoch:', '0096', 'test cost=', '0.640816629')
('Epoch:', '0097', 'training cost=', '0.641279631')
('Epoch:', '0097', 'test cost=', '0.640773833')
('Epoch:', '0098', 'training cost=', '0.643408139')
('Epoch:', '0098', 'test cost=', '0.640810668')
('Epoch:', '0099', 'training cost=', '0.642935288')
('Epoch:', '0099', 'test cost=', '0.640887380')
('Epoch:', '0100', 'training cost=', '0.643582139')
('Epoch:', '0100', 'test cost=', '0.640833378')
('Epoch:', '0101', 'training cost=', '0.642323753')
('Epoch:', '0101', 'test cost=', '0.640808761')
('Epoch:', '0102', 'training cost=', '0.641707632')
('Epoch:', '0102', 'test cost=', '0.640793860')
('Epoch:', '0103', 'training cost=', '0.641968329')
('Epoch:', '0103', 'test cost=', '0.640830457')
('Epoch:', '0104', 'training cost=', '0.642520826')
('Epoch:', '0104', 'test cost=', '0.640816391')
('Epoch:', '0105', 'training cost=', '0.641242360')
('Epoch:', '0105', 'test cost=', '0.640788376')
('Epoch:', '0106', 'training cost=', '0.642532441')
('Epoch:', '0106', 'test cost=', '0.640825927')
('Epoch:', '0107', 'training cost=', '0.642101139')
('Epoch:', '0107', 'test cost=', '0.640801430')
('Epoch:', '0108', 'training cost=', '0.642619637')
('Epoch:', '0108', 'test cost=', '0.640789628')
('Epoch:', '0109', 'training cost=', '0.642915340')
('Epoch:', '0109', 'test cost=', '0.640843570')
('Epoch:', '0110', 'training cost=', '0.641372318')
('Epoch:', '0110', 'test cost=', '0.640812576')
('Epoch:', '0111', 'training cost=', '0.643026076')
('Epoch:', '0111', 'test cost=', '0.640831172')
('Epoch:', '0112', 'training cost=', '0.641791400')
('Epoch:', '0112', 'test cost=', '0.640781939')
('Epoch:', '0113', 'training cost=', '0.642105603')
('Epoch:', '0113', 'test cost=', '0.640820563')
('Epoch:', '0114', 'training cost=', '0.643413399')
('Epoch:', '0114', 'test cost=', '0.640862286')
('Epoch:', '0115', 'training cost=', '0.640894173')
('Epoch:', '0115', 'test cost=', '0.640824974')
('Epoch:', '0116', 'training cost=', '0.641769848')
('Epoch:', '0116', 'test cost=', '0.640812516')
('Epoch:', '0117', 'training cost=', '0.641163458')
('Epoch:', '0117', 'test cost=', '0.640775561')
('Epoch:', '0118', 'training cost=', '0.641489440')
('Epoch:', '0118', 'test cost=', '0.640822828')
('Epoch:', '0119', 'training cost=', '0.642841785')
('Epoch:', '0119', 'test cost=', '0.640835702')
('Epoch:', '0120', 'training cost=', '0.643095431')
('Epoch:', '0120', 'test cost=', '0.640887499')
('Epoch:', '0121', 'training cost=', '0.642272194')
('Epoch:', '0121', 'test cost=', '0.640811205')
('Epoch:', '0122', 'training cost=', '0.642782851')
('Epoch:', '0122', 'test cost=', '0.640854001')
('Epoch:', '0123', 'training cost=', '0.642678788')
('Epoch:', '0123', 'test cost=', '0.640786827')
('Epoch:', '0124', 'training cost=', '0.642546582')
('Epoch:', '0124', 'test cost=', '0.640844584')
('Epoch:', '0125', 'training cost=', '0.642899591')
('Epoch:', '0125', 'test cost=', '0.640853167')
('Epoch:', '0126', 'training cost=', '0.641541836')
('Epoch:', '0126', 'test cost=', '0.640829563')
('Epoch:', '0127', 'training cost=', '0.641992434')
('Epoch:', '0127', 'test cost=', '0.640797257')
('Epoch:', '0128', 'training cost=', '0.642289498')
('Epoch:', '0128', 'test cost=', '0.640812576')
('Epoch:', '0129', 'training cost=', '0.642366133')
('Epoch:', '0129', 'test cost=', '0.640782297')
('Epoch:', '0130', 'training cost=', '0.643874824')
('Epoch:', '0130', 'test cost=', '0.640816450')
('Epoch:', '0131', 'training cost=', '0.641242174')
('Epoch:', '0131', 'test cost=', '0.640818894')
('Epoch:', '0132', 'training cost=', '0.642406026')
('Epoch:', '0132', 'test cost=', '0.640826821')
('Epoch:', '0133', 'training cost=', '0.641779585')
('Epoch:', '0133', 'test cost=', '0.640828788')
('Epoch:', '0134', 'training cost=', '0.643174101')
('Epoch:', '0134', 'test cost=', '0.640854955')
('Epoch:', '0135', 'training cost=', '0.640825967')
('Epoch:', '0135', 'test cost=', '0.640856862')
('Epoch:', '0136', 'training cost=', '0.643268440')
('Epoch:', '0136', 'test cost=', '0.640827060')
('Epoch:', '0137', 'training cost=', '0.642713149')
('Epoch:', '0137', 'test cost=', '0.640816033')
('Epoch:', '0138', 'training cost=', '0.642122553')
('Epoch:', '0138', 'test cost=', '0.640784442')
('Epoch:', '0139', 'training cost=', '0.641144721')
('Epoch:', '0139', 'test cost=', '0.640812337')
('Epoch:', '0140', 'training cost=', '0.640630751')
('Epoch:', '0140', 'test cost=', '0.640791774')
('Epoch:', '0141', 'training cost=', '0.642223853')
('Epoch:', '0141', 'test cost=', '0.640806258')
('Epoch:', '0142', 'training cost=', '0.644405452')
('Epoch:', '0142', 'test cost=', '0.640812337')
('Epoch:', '0143', 'training cost=', '0.643821955')
('Epoch:', '0143', 'test cost=', '0.640844643')
('Epoch:', '0144', 'training cost=', '0.643271576')
('Epoch:', '0144', 'test cost=', '0.640841305')
('Epoch:', '0145', 'training cost=', '0.642449614')
('Epoch:', '0145', 'test cost=', '0.640798450')
('Epoch:', '0146', 'training cost=', '0.643529733')
('Epoch:', '0146', 'test cost=', '0.640882492')
('Epoch:', '0147', 'training cost=', '0.642689808')
('Epoch:', '0147', 'test cost=', '0.640807033')
('Epoch:', '0148', 'training cost=', '0.641970548')
('Epoch:', '0148', 'test cost=', '0.640829206')
('Epoch:', '0149', 'training cost=', '0.643167313')
('Epoch:', '0149', 'test cost=', '0.640818000')
('Epoch:', '0150', 'training cost=', '0.641055458')
('Epoch:', '0150', 'test cost=', '0.640877366')
('Epoch:', '0151', 'training cost=', '0.640268297')
('Epoch:', '0151', 'test cost=', '0.640779018')
('Epoch:', '0152', 'training cost=', '0.640106729')
('Epoch:', '0152', 'test cost=', '0.640818894')
('Epoch:', '0153', 'training cost=', '0.640635488')
('Epoch:', '0153', 'test cost=', '0.640834451')
('Epoch:', '0154', 'training cost=', '0.640652667')
('Epoch:', '0154', 'test cost=', '0.640817106')
('Epoch:', '0155', 'training cost=', '0.644474172')
('Epoch:', '0155', 'test cost=', '0.640849888')
('Epoch:', '0156', 'training cost=', '0.641955655')
('Epoch:', '0156', 'test cost=', '0.640813768')
('Epoch:', '0157', 'training cost=', '0.640370990')
('Epoch:', '0157', 'test cost=', '0.640800297')
('Epoch:', '0158', 'training cost=', '0.643420295')
('Epoch:', '0158', 'test cost=', '0.640816092')
('Epoch:', '0159', 'training cost=', '0.642937029')
('Epoch:', '0159', 'test cost=', '0.640789628')
('Epoch:', '0160', 'training cost=', '0.643605749')
('Epoch:', '0160', 'test cost=', '0.640825510')
('Epoch:', '0161', 'training cost=', '0.642566058')
('Epoch:', '0161', 'test cost=', '0.640803933')
('Epoch:', '0162', 'training cost=', '0.643063505')
('Epoch:', '0162', 'test cost=', '0.640801191')
('Epoch:', '0163', 'training cost=', '0.642167794')
('Epoch:', '0163', 'test cost=', '0.640796185')
('Epoch:', '0164', 'training cost=', '0.642753944')
('Epoch:', '0164', 'test cost=', '0.640846372')
('Epoch:', '0165', 'training cost=', '0.642528682')
('Epoch:', '0165', 'test cost=', '0.640787005')
('Epoch:', '0166', 'training cost=', '0.643458285')
('Epoch:', '0166', 'test cost=', '0.640813649')
('Epoch:', '0167', 'training cost=', '0.642748251')
('Epoch:', '0167', 'test cost=', '0.640812516')
('Epoch:', '0168', 'training cost=', '0.642465806')
('Epoch:', '0168', 'test cost=', '0.640795708')
('Epoch:', '0169', 'training cost=', '0.642689705')
('Epoch:', '0169', 'test cost=', '0.640796423')
('Epoch:', '0170', 'training cost=', '0.642818792')
('Epoch:', '0170', 'test cost=', '0.640789807')
('Epoch:', '0171', 'training cost=', '0.641727917')
('Epoch:', '0171', 'test cost=', '0.640810847')
('Epoch:', '0172', 'training cost=', '0.642090830')
('Epoch:', '0172', 'test cost=', '0.640801489')
('Epoch:', '0173', 'training cost=', '0.641730598')
('Epoch:', '0173', 'test cost=', '0.640781462')
('Epoch:', '0174', 'training cost=', '0.643984209')
('Epoch:', '0174', 'test cost=', '0.640868366')
('Epoch:', '0175', 'training cost=', '0.642614475')
('Epoch:', '0175', 'test cost=', '0.640801907')
('Epoch:', '0176', 'training cost=', '0.641791094')
('Epoch:', '0176', 'test cost=', '0.640797913')
('Epoch:', '0177', 'training cost=', '0.642909109')
('Epoch:', '0177', 'test cost=', '0.640811145')
('Epoch:', '0178', 'training cost=', '0.642821106')
('Epoch:', '0178', 'test cost=', '0.640851438')
('Epoch:', '0179', 'training cost=', '0.641284194')
('Epoch:', '0179', 'test cost=', '0.640798271')
('Epoch:', '0180', 'training cost=', '0.641095512')
('Epoch:', '0180', 'test cost=', '0.640800416')
('Epoch:', '0181', 'training cost=', '0.642496942')
('Epoch:', '0181', 'test cost=', '0.640807688')
('Epoch:', '0182', 'training cost=', '0.642192518')
('Epoch:', '0182', 'test cost=', '0.640795946')
('Epoch:', '0183', 'training cost=', '0.642399264')
('Epoch:', '0183', 'test cost=', '0.640773892')
('Epoch:', '0184', 'training cost=', '0.643061327')
('Epoch:', '0184', 'test cost=', '0.640806735')
('Epoch:', '0185', 'training cost=', '0.641585608')
('Epoch:', '0185', 'test cost=', '0.640787482')
('Epoch:', '0186', 'training cost=', '0.642701566')
('Epoch:', '0186', 'test cost=', '0.640810370')
('Epoch:', '0187', 'training cost=', '0.642870006')
('Epoch:', '0187', 'test cost=', '0.640855253')
('Epoch:', '0188', 'training cost=', '0.642711742')
('Epoch:', '0188', 'test cost=', '0.640830934')
('Epoch:', '0189', 'training cost=', '0.642083722')
('Epoch:', '0189', 'test cost=', '0.640793979')
('Epoch:', '0190', 'training cost=', '0.642414869')
('Epoch:', '0190', 'test cost=', '0.640789032')
('Epoch:', '0191', 'training cost=', '0.641730830')
('Epoch:', '0191', 'test cost=', '0.640825331')
('Epoch:', '0192', 'training cost=', '0.642710316')
('Epoch:', '0192', 'test cost=', '0.640845537')
('Epoch:', '0193', 'training cost=', '0.642260172')
('Epoch:', '0193', 'test cost=', '0.640832067')
('Epoch:', '0194', 'training cost=', '0.641209104')
('Epoch:', '0194', 'test cost=', '0.640791774')
('Epoch:', '0195', 'training cost=', '0.642718350')
('Epoch:', '0195', 'test cost=', '0.640835524')
('Epoch:', '0196', 'training cost=', '0.642149108')
('Epoch:', '0196', 'test cost=', '0.640859962')
('Epoch:', '0197', 'training cost=', '0.642287586')
('Epoch:', '0197', 'test cost=', '0.640812695')
('Epoch:', '0198', 'training cost=', '0.642983915')
('Epoch:', '0198', 'test cost=', '0.640809357')
('Epoch:', '0199', 'training cost=', '0.642136970')
('Epoch:', '0199', 'test cost=', '0.640833318')
('Epoch:', '0200', 'training cost=', '0.642577249')
('Epoch:', '0200', 'test cost=', '0.640832543')
('Epoch:', '0201', 'training cost=', '0.643648115')
('Epoch:', '0201', 'test cost=', '0.640818715')
('Epoch:', '0202', 'training cost=', '0.640459312')
('Epoch:', '0202', 'test cost=', '0.640781879')
('Epoch:', '0203', 'training cost=', '0.643126785')
('Epoch:', '0203', 'test cost=', '0.640805840')
('Epoch:', '0204', 'training cost=', '0.641379810')
('Epoch:', '0204', 'test cost=', '0.640794456')
('Epoch:', '0205', 'training cost=', '0.642009146')
('Epoch:', '0205', 'test cost=', '0.640774012')
('Epoch:', '0206', 'training cost=', '0.642176701')
('Epoch:', '0206', 'test cost=', '0.640823841')
('Epoch:', '0207', 'training cost=', '0.642772678')
('Epoch:', '0207', 'test cost=', '0.640785873')
('Epoch:', '0208', 'training cost=', '0.642256713')
('Epoch:', '0208', 'test cost=', '0.640806019')
('Epoch:', '0209', 'training cost=', '0.643274434')
('Epoch:', '0209', 'test cost=', '0.640839338')
('Epoch:', '0210', 'training cost=', '0.639500686')
('Epoch:', '0210', 'test cost=', '0.640801668')
('Epoch:', '0211', 'training cost=', '0.642499681')
('Epoch:', '0211', 'test cost=', '0.640796781')
('Epoch:', '0212', 'training cost=', '0.641687988')
('Epoch:', '0212', 'test cost=', '0.640791714')
('Epoch:', '0213', 'training cost=', '0.641047433')
('Epoch:', '0213', 'test cost=', '0.640810251')
('Epoch:', '0214', 'training cost=', '0.641579758')
('Epoch:', '0214', 'test cost=', '0.640829206')
('Epoch:', '0215', 'training cost=', '0.641668132')
('Epoch:', '0215', 'test cost=', '0.640797257')
('Epoch:', '0216', 'training cost=', '0.641038270')
('Epoch:', '0216', 'test cost=', '0.640799880')
('Epoch:', '0217', 'training cost=', '0.643073330')
('Epoch:', '0217', 'test cost=', '0.640772939')
('Epoch:', '0218', 'training cost=', '0.641564435')
('Epoch:', '0218', 'test cost=', '0.640845895')
('Epoch:', '0219', 'training cost=', '0.642133216')
('Epoch:', '0219', 'test cost=', '0.640825152')
('Epoch:', '0220', 'training cost=', '0.642603214')
('Epoch:', '0220', 'test cost=', '0.640851438')
('Epoch:', '0221', 'training cost=', '0.643791693')
('Epoch:', '0221', 'test cost=', '0.640801668')
('Epoch:', '0222', 'training cost=', '0.641800400')
('Epoch:', '0222', 'test cost=', '0.640833616')
('Epoch:', '0223', 'training cost=', '0.642290567')
('Epoch:', '0223', 'test cost=', '0.640836895')
('Epoch:', '0224', 'training cost=', '0.642631606')
('Epoch:', '0224', 'test cost=', '0.640793860')
('Epoch:', '0225', 'training cost=', '0.642613306')
('Epoch:', '0225', 'test cost=', '0.640808403')
('Epoch:', '0226', 'training cost=', '0.642948617')
('Epoch:', '0226', 'test cost=', '0.640831053')
('Epoch:', '0227', 'training cost=', '0.642462640')
('Epoch:', '0227', 'test cost=', '0.640809953')
('Epoch:', '0228', 'training cost=', '0.643784167')
('Epoch:', '0228', 'test cost=', '0.640816629')
('Epoch:', '0229', 'training cost=', '0.641445321')
('Epoch:', '0229', 'test cost=', '0.640813887')
('Epoch:', '0230', 'training cost=', '0.643387636')
('Epoch:', '0230', 'test cost=', '0.640844166')
('Epoch:', '0231', 'training cost=', '0.642890162')
('Epoch:', '0231', 'test cost=', '0.640787899')
('Epoch:', '0232', 'training cost=', '0.640880541')
('Epoch:', '0232', 'test cost=', '0.640793622')
('Epoch:', '0233', 'training cost=', '0.641710948')
('Epoch:', '0233', 'test cost=', '0.640782177')
('Epoch:', '0234', 'training cost=', '0.640014410')
('Epoch:', '0234', 'test cost=', '0.640808761')
('Epoch:', '0235', 'training cost=', '0.642283581')
('Epoch:', '0235', 'test cost=', '0.640785754')
('Epoch:', '0236', 'training cost=', '0.644115383')
('Epoch:', '0236', 'test cost=', '0.640859246')
('Epoch:', '0237', 'training cost=', '0.641614312')
('Epoch:', '0237', 'test cost=', '0.640831172')
('Epoch:', '0238', 'training cost=', '0.643110189')
('Epoch:', '0238', 'test cost=', '0.640795887')
('Epoch:', '0239', 'training cost=', '0.640608868')
('Epoch:', '0239', 'test cost=', '0.640825987')
('Epoch:', '0240', 'training cost=', '0.641874074')
('Epoch:', '0240', 'test cost=', '0.640828013')
('Epoch:', '0241', 'training cost=', '0.641900842')
('Epoch:', '0241', 'test cost=', '0.640862167')
('Epoch:', '0242', 'training cost=', '0.641710444')
('Epoch:', '0242', 'test cost=', '0.640834153')
('Epoch:', '0243', 'training cost=', '0.641392060')
('Epoch:', '0243', 'test cost=', '0.640791595')
('Epoch:', '0244', 'training cost=', '0.644143494')
('Epoch:', '0244', 'test cost=', '0.640828907')
('Epoch:', '0245', 'training cost=', '0.642185080')
('Epoch:', '0245', 'test cost=', '0.640790999')
