Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([50]), u'n_hidden_layers': array([2]), u'learning_rate': array([ 1.]), u'beta': array([ 0.1])}
('Epoch:', '0035', 'training cost=', '0.654159350')
('Epoch:', '0035', 'test cost=', '0.653303146')
('Epoch:', '0036', 'training cost=', '0.656405549')
('Epoch:', '0036', 'test cost=', '0.655206740')
('Epoch:', '0037', 'training cost=', '0.656117593')
('Epoch:', '0037', 'test cost=', '0.640781820')
('Epoch:', '0038', 'training cost=', '0.656933144')
('Epoch:', '0038', 'test cost=', '0.640862226')
('Epoch:', '0039', 'training cost=', '0.655742391')
('Epoch:', '0039', 'test cost=', '0.660143852')
('Epoch:', '0040', 'training cost=', '0.656695666')
('Epoch:', '0040', 'test cost=', '0.661761999')
('Epoch:', '0041', 'training cost=', '0.655243770')
('Epoch:', '0041', 'test cost=', '0.663841009')
('Epoch:', '0042', 'training cost=', '0.657789415')
('Epoch:', '0042', 'test cost=', '0.647830188')
('Epoch:', '0043', 'training cost=', '0.652553511')
('Epoch:', '0043', 'test cost=', '0.671653628')
('Epoch:', '0044', 'training cost=', '0.657924773')
('Epoch:', '0044', 'test cost=', '0.643392801')
('Epoch:', '0045', 'training cost=', '0.653208044')
('Epoch:', '0045', 'test cost=', '0.640784204')
('Epoch:', '0046', 'training cost=', '0.658601231')
('Epoch:', '0046', 'test cost=', '0.641704023')
('Epoch:', '0047', 'training cost=', '0.655126884')
('Epoch:', '0047', 'test cost=', '0.642915308')
('Epoch:', '0048', 'training cost=', '0.748230135')
('Epoch:', '0048', 'test cost=', '0.660296798')
('Epoch:', '0049', 'training cost=', '0.656835787')
('Epoch:', '0049', 'test cost=', '0.687743664')
('Epoch:', '0050', 'training cost=', '0.660536201')
('Epoch:', '0050', 'test cost=', '0.647661924')
('Epoch:', '0051', 'training cost=', '0.656949753')
('Epoch:', '0051', 'test cost=', '0.647890687')
('Epoch:', '0052', 'training cost=', '0.654504503')
('Epoch:', '0052', 'test cost=', '0.654883862')
('Epoch:', '0053', 'training cost=', '0.659000697')
('Epoch:', '0053', 'test cost=', '0.641829550')
('Epoch:', '0054', 'training cost=', '0.658388538')
('Epoch:', '0054', 'test cost=', '0.653851569')
('Epoch:', '0055', 'training cost=', '0.656422956')
('Epoch:', '0055', 'test cost=', '0.640930295')
('Epoch:', '0056', 'training cost=', '0.655101806')
('Epoch:', '0056', 'test cost=', '0.650238037')
('Epoch:', '0057', 'training cost=', '0.657244633')
('Epoch:', '0057', 'test cost=', '0.641778827')
('Epoch:', '0058', 'training cost=', '0.659795696')
('Epoch:', '0058', 'test cost=', '0.640820801')
('Epoch:', '0059', 'training cost=', '0.653521922')
('Epoch:', '0059', 'test cost=', '0.640793383')
('Epoch:', '0060', 'training cost=', '0.658115352')
('Epoch:', '0060', 'test cost=', '0.644818723')
('Epoch:', '0061', 'training cost=', '0.657654895')
('Epoch:', '0061', 'test cost=', '0.649445117')
('Epoch:', '0062', 'training cost=', '0.653822054')
('Epoch:', '0062', 'test cost=', '0.695835948')
('Epoch:', '0063', 'training cost=', '0.788334416')
('Epoch:', '0063', 'test cost=', '0.669723630')
('Epoch:', '0064', 'training cost=', '0.657637840')
('Epoch:', '0064', 'test cost=', '0.647725940')
('Epoch:', '0065', 'training cost=', '0.653770588')
('Epoch:', '0065', 'test cost=', '0.644157887')
('Epoch:', '0066', 'training cost=', '0.656071427')
('Epoch:', '0066', 'test cost=', '0.651423335')
('Epoch:', '0067', 'training cost=', '0.656268450')
('Epoch:', '0067', 'test cost=', '0.642629325')
('Epoch:', '0068', 'training cost=', '0.655289246')
('Epoch:', '0068', 'test cost=', '0.643469214')
('Epoch:', '0069', 'training cost=', '0.654988011')
('Epoch:', '0069', 'test cost=', '0.641096413')
('Epoch:', '0070', 'training cost=', '0.656798842')
('Epoch:', '0070', 'test cost=', '0.641104937')
('Epoch:', '0071', 'training cost=', '0.654925476')
('Epoch:', '0071', 'test cost=', '0.653146088')
('Epoch:', '0072', 'training cost=', '0.656568982')
('Epoch:', '0072', 'test cost=', '0.713119924')
('Epoch:', '0073', 'training cost=', '0.661178284')
('Epoch:', '0073', 'test cost=', '0.648231328')
('Epoch:', '0074', 'training cost=', '0.654145391')
('Epoch:', '0074', 'test cost=', '0.650701761')
('Epoch:', '0075', 'training cost=', '0.657746376')
('Epoch:', '0075', 'test cost=', '0.669349194')
('Epoch:', '0076', 'training cost=', '0.659348940')
('Epoch:', '0076', 'test cost=', '0.659940064')
('Epoch:', '0077', 'training cost=', '0.652397132')
('Epoch:', '0077', 'test cost=', '0.640931368')
('Epoch:', '0078', 'training cost=', '0.661154159')
('Epoch:', '0078', 'test cost=', '0.662521482')
('Epoch:', '0079', 'training cost=', '0.690760779')
('Epoch:', '0079', 'test cost=', '0.640893340')
('Epoch:', '0080', 'training cost=', '0.654866792')
('Epoch:', '0080', 'test cost=', '0.647770226')
('Epoch:', '0081', 'training cost=', '0.657264972')
('Epoch:', '0081', 'test cost=', '0.640835762')
('Epoch:', '0082', 'training cost=', '0.655294918')
('Epoch:', '0082', 'test cost=', '0.640797317')
('Epoch:', '0083', 'training cost=', '0.656763066')
('Epoch:', '0083', 'test cost=', '0.643631220')
('Epoch:', '0084', 'training cost=', '0.653476811')
('Epoch:', '0084', 'test cost=', '0.659406364')
('Epoch:', '0085', 'training cost=', '0.655932407')
('Epoch:', '0085', 'test cost=', '0.684259593')
('Epoch:', '0086', 'training cost=', '0.658912506')
('Epoch:', '0086', 'test cost=', '0.641040504')
('Epoch:', '0087', 'training cost=', '0.653454200')
('Epoch:', '0087', 'test cost=', '0.707609892')
('Epoch:', '0088', 'training cost=', '0.656769721')
('Epoch:', '0088', 'test cost=', '0.642731845')
('Epoch:', '0089', 'training cost=', '0.655624479')
('Epoch:', '0089', 'test cost=', '0.760583282')
('Epoch:', '0090', 'training cost=', '0.905845043')
('Epoch:', '0090', 'test cost=', '0.649337947')
('Epoch:', '0091', 'training cost=', '0.653234284')
('Epoch:', '0091', 'test cost=', '0.658639967')
('Epoch:', '0092', 'training cost=', '0.659270489')
('Epoch:', '0092', 'test cost=', '0.689025581')
('Epoch:', '0093', 'training cost=', '0.712452305')
('Epoch:', '0093', 'test cost=', '0.641544402')
('Epoch:', '0094', 'training cost=', '0.656057337')
('Epoch:', '0094', 'test cost=', '0.681271553')
('Epoch:', '0095', 'training cost=', '0.656836208')
('Epoch:', '0095', 'test cost=', '0.642263412')
('Epoch:', '0096', 'training cost=', '0.654680239')
('Epoch:', '0096', 'test cost=', '0.664984882')
('Epoch:', '0097', 'training cost=', '0.655786412')
('Epoch:', '0097', 'test cost=', '0.661159098')
('Epoch:', '0098', 'training cost=', '0.655016657')
('Epoch:', '0098', 'test cost=', '0.641971111')
('Epoch:', '0099', 'training cost=', '0.656512636')
('Epoch:', '0099', 'test cost=', '0.641029954')
('Epoch:', '0100', 'training cost=', '0.659860284')
('Epoch:', '0100', 'test cost=', '0.652319312')
('Epoch:', '0101', 'training cost=', '0.653801680')
('Epoch:', '0101', 'test cost=', '0.640806079')
('Epoch:', '0102', 'training cost=', '0.657299595')
('Epoch:', '0102', 'test cost=', '0.651634991')
('Epoch:', '0103', 'training cost=', '0.656440623')
('Epoch:', '0103', 'test cost=', '0.641077697')
('Epoch:', '0104', 'training cost=', '0.656649375')
('Epoch:', '0104', 'test cost=', '0.676913559')
('Epoch:', '0105', 'training cost=', '0.656027154')
('Epoch:', '0105', 'test cost=', '0.647695899')
('Epoch:', '0106', 'training cost=', '0.656132495')
('Epoch:', '0106', 'test cost=', '0.644128323')
('Epoch:', '0107', 'training cost=', '0.655419494')
('Epoch:', '0107', 'test cost=', '0.662807107')
('Epoch:', '0108', 'training cost=', '0.658733848')
('Epoch:', '0108', 'test cost=', '0.651058376')
('Epoch:', '0109', 'training cost=', '0.656746521')
('Epoch:', '0109', 'test cost=', '0.641167700')
('Epoch:', '0110', 'training cost=', '0.656218022')
('Epoch:', '0110', 'test cost=', '0.642364502')
('Epoch:', '0111', 'training cost=', '0.653893138')
('Epoch:', '0111', 'test cost=', '0.643852472')
('Epoch:', '0112', 'training cost=', '0.661708085')
('Epoch:', '0112', 'test cost=', '0.649726450')
('Epoch:', '0113', 'training cost=', '0.656711274')
('Epoch:', '0113', 'test cost=', '0.652659059')
('Epoch:', '0114', 'training cost=', '0.654631910')
('Epoch:', '0114', 'test cost=', '0.641816914')
('Epoch:', '0115', 'training cost=', '0.653270134')
('Epoch:', '0115', 'test cost=', '0.751290143')
('Epoch:', '0116', 'training cost=', '0.656615423')
('Epoch:', '0116', 'test cost=', '0.662895739')
('Epoch:', '0117', 'training cost=', '0.658228321')
('Epoch:', '0117', 'test cost=', '0.654829025')
('Epoch:', '0118', 'training cost=', '0.657835676')
('Epoch:', '0118', 'test cost=', '0.674710929')
('Epoch:', '0119', 'training cost=', '0.657350675')
('Epoch:', '0119', 'test cost=', '0.640801847')
('Epoch:', '0120', 'training cost=', '0.661022459')
('Epoch:', '0120', 'test cost=', '0.668688595')
('Epoch:', '0121', 'training cost=', '0.654457894')
('Epoch:', '0121', 'test cost=', '0.640949249')
('Epoch:', '0122', 'training cost=', '0.653997454')
('Epoch:', '0122', 'test cost=', '0.646089375')
('Epoch:', '0123', 'training cost=', '0.658034568')
('Epoch:', '0123', 'test cost=', '0.650820732')
('Epoch:', '0124', 'training cost=', '0.653088216')
('Epoch:', '0124', 'test cost=', '0.675868571')
('Epoch:', '0125', 'training cost=', '0.656099602')
('Epoch:', '0125', 'test cost=', '0.640974343')
('Epoch:', '0126', 'training cost=', '0.655655255')
('Epoch:', '0126', 'test cost=', '0.640796363')
('Epoch:', '0127', 'training cost=', '0.656552100')
('Epoch:', '0127', 'test cost=', '0.640826762')
('Epoch:', '0128', 'training cost=', '1.117761440')
('Epoch:', '0128', 'test cost=', '0.668501556')
('Epoch:', '0129', 'training cost=', '0.654470731')
('Epoch:', '0129', 'test cost=', '0.645006716')
('Epoch:', '0130', 'training cost=', '0.657696417')
('Epoch:', '0130', 'test cost=', '0.640800297')
('Epoch:', '0131', 'training cost=', '0.655125941')
('Epoch:', '0131', 'test cost=', '0.669628441')
('Epoch:', '0132', 'training cost=', '0.658750956')
('Epoch:', '0132', 'test cost=', '0.642631233')
('Epoch:', '0133', 'training cost=', '1.221173393')
('Epoch:', '0133', 'test cost=', '0.643283665')
('Epoch:', '0134', 'training cost=', '0.661744518')
('Epoch:', '0134', 'test cost=', '0.674029112')
('Epoch:', '0135', 'training cost=', '0.656194782')
('Epoch:', '0135', 'test cost=', '0.641641021')
('Epoch:', '0136', 'training cost=', '0.659387924')
('Epoch:', '0136', 'test cost=', '0.714603245')
('Epoch:', '0137', 'training cost=', '0.652331290')
('Epoch:', '0137', 'test cost=', '0.640940487')
('Epoch:', '0138', 'training cost=', '0.659522886')
('Epoch:', '0138', 'test cost=', '0.681847155')
('Epoch:', '0139', 'training cost=', '0.659231762')
('Epoch:', '0139', 'test cost=', '0.706335783')
('Epoch:', '0140', 'training cost=', '0.656746293')
('Epoch:', '0140', 'test cost=', '0.646410167')
('Epoch:', '0141', 'training cost=', '0.655623562')
('Epoch:', '0141', 'test cost=', '0.652420402')
('Epoch:', '0142', 'training cost=', '0.658748778')
('Epoch:', '0142', 'test cost=', '0.641099334')
('Epoch:', '0143', 'training cost=', '0.656302966')
('Epoch:', '0143', 'test cost=', '0.643450439')
('Epoch:', '0144', 'training cost=', '0.655574333')
('Epoch:', '0144', 'test cost=', '0.749927223')
('Epoch:', '0145', 'training cost=', '0.655793197')
('Epoch:', '0145', 'test cost=', '0.653606355')
('Epoch:', '0146', 'training cost=', '0.654777709')
('Epoch:', '0146', 'test cost=', '0.710325003')
('Epoch:', '0147', 'training cost=', '0.656058911')
('Epoch:', '0147', 'test cost=', '0.641760230')
('Epoch:', '0148', 'training cost=', '0.658299139')
('Epoch:', '0148', 'test cost=', '0.662507355')
('Epoch:', '0149', 'training cost=', '1.729142016')
('Epoch:', '0149', 'test cost=', '0.660913348')
('Epoch:', '0150', 'training cost=', '0.657764559')
('Epoch:', '0150', 'test cost=', '0.645645440')
('Epoch:', '0151', 'training cost=', '0.658355593')
('Epoch:', '0151', 'test cost=', '0.660573244')
('Epoch:', '0152', 'training cost=', '0.653335398')
('Epoch:', '0152', 'test cost=', '0.703178227')
('Epoch:', '0153', 'training cost=', '0.654249697')
('Epoch:', '0153', 'test cost=', '0.666776538')
('Epoch:', '0154', 'training cost=', '0.659619906')
('Epoch:', '0154', 'test cost=', '0.654979527')
('Epoch:', '0155', 'training cost=', '0.655129982')
('Epoch:', '0155', 'test cost=', '0.649914324')
('Epoch:', '0156', 'training cost=', '0.653772813')
('Epoch:', '0156', 'test cost=', '0.642597854')
('Epoch:', '0157', 'training cost=', '0.652400324')
('Epoch:', '0157', 'test cost=', '0.655284584')
('Epoch:', '0158', 'training cost=', '0.658599016')
('Epoch:', '0158', 'test cost=', '0.650129080')
('Epoch:', '0159', 'training cost=', '0.653853257')
('Epoch:', '0159', 'test cost=', '0.709487498')
('Epoch:', '0160', 'training cost=', '0.661811844')
('Epoch:', '0160', 'test cost=', '0.655728102')
('Epoch:', '0161', 'training cost=', '0.656801398')
('Epoch:', '0161', 'test cost=', '0.659035325')
('Epoch:', '0162', 'training cost=', '0.656092201')
('Epoch:', '0162', 'test cost=', '0.640825033')
('Epoch:', '0163', 'training cost=', '0.658980471')
('Epoch:', '0163', 'test cost=', '0.649342000')
('Epoch:', '0164', 'training cost=', '0.658028723')
('Epoch:', '0164', 'test cost=', '0.643500447')
('Epoch:', '0165', 'training cost=', '0.654308391')
('Epoch:', '0165', 'test cost=', '0.641841114')
('Epoch:', '0166', 'training cost=', '0.656333277')
('Epoch:', '0166', 'test cost=', '0.641028464')
('Epoch:', '0167', 'training cost=', '0.661218521')
('Epoch:', '0167', 'test cost=', '0.640827239')
('Epoch:', '0168', 'training cost=', '0.654969006')
('Epoch:', '0168', 'test cost=', '0.644707799')
('Epoch:', '0169', 'training cost=', '0.656241372')
('Epoch:', '0169', 'test cost=', '0.641441882')
('Epoch:', '0170', 'training cost=', '0.654451248')
('Epoch:', '0170', 'test cost=', '0.643015742')
('Epoch:', '0171', 'training cost=', '0.657057577')
('Epoch:', '0171', 'test cost=', '0.640827894')
('Epoch:', '0172', 'training cost=', '0.655476907')
('Epoch:', '0172', 'test cost=', '0.648061097')
('Epoch:', '0173', 'training cost=', '0.656064364')
('Epoch:', '0173', 'test cost=', '0.657788217')
('Epoch:', '0174', 'training cost=', '0.655121157')
('Epoch:', '0174', 'test cost=', '0.644899964')
('Epoch:', '0175', 'training cost=', '0.656494260')
('Epoch:', '0175', 'test cost=', '0.665770590')
('Epoch:', '0176', 'training cost=', '0.652665789')
('Epoch:', '0176', 'test cost=', '0.660980463')
('Epoch:', '0177', 'training cost=', '0.656984742')
('Epoch:', '0177', 'test cost=', '0.647620320')
('Epoch:', '0178', 'training cost=', '0.654392643')
('Epoch:', '0178', 'test cost=', '0.648230493')
('Epoch:', '0179', 'training cost=', '0.656468856')
('Epoch:', '0179', 'test cost=', '0.641219199')
('Epoch:', '0180', 'training cost=', '0.659075985')
('Epoch:', '0180', 'test cost=', '0.642006814')
('Epoch:', '0181', 'training cost=', '0.656922427')
('Epoch:', '0181', 'test cost=', '0.645233393')
('Epoch:', '0182', 'training cost=', '0.659039774')
('Epoch:', '0182', 'test cost=', '0.644655347')
('Epoch:', '0183', 'training cost=', '0.654097798')
('Epoch:', '0183', 'test cost=', '0.640795827')
('Epoch:', '0184', 'training cost=', '0.654611982')
('Epoch:', '0184', 'test cost=', '0.641136646')
('Epoch:', '0185', 'training cost=', '0.659769967')
('Epoch:', '0185', 'test cost=', '0.650910079')
('Epoch:', '0186', 'training cost=', '0.656341119')
('Epoch:', '0186', 'test cost=', '0.674316227')
('Epoch:', '0187', 'training cost=', '0.655265289')
('Epoch:', '0187', 'test cost=', '0.655060828')
('Epoch:', '0188', 'training cost=', '0.653712075')
('Epoch:', '0188', 'test cost=', '0.672140241')
('Epoch:', '0189', 'training cost=', '0.657278111')
('Epoch:', '0189', 'test cost=', '0.672486126')
('Epoch:', '0190', 'training cost=', '0.655656598')
('Epoch:', '0190', 'test cost=', '0.641685307')
('Epoch:', '0191', 'training cost=', '0.655566503')
('Epoch:', '0191', 'test cost=', '0.645966887')
('Epoch:', '0192', 'training cost=', '0.656882503')
('Epoch:', '0192', 'test cost=', '0.640790284')
('Epoch:', '0193', 'training cost=', '1.131677563')
('Epoch:', '0193', 'test cost=', '0.642589509')
('Epoch:', '0194', 'training cost=', '0.659095163')
('Epoch:', '0194', 'test cost=', '0.641621590')
('Epoch:', '0195', 'training cost=', '0.654926988')
('Epoch:', '0195', 'test cost=', '0.642802358')
('Epoch:', '0196', 'training cost=', '0.654031601')
('Epoch:', '0196', 'test cost=', '0.640919507')
('Epoch:', '0197', 'training cost=', '0.657561753')
('Epoch:', '0197', 'test cost=', '0.650339603')
('Epoch:', '0198', 'training cost=', '0.655778553')
('Epoch:', '0198', 'test cost=', '0.640924633')
('Epoch:', '0199', 'training cost=', '0.654857650')
('Epoch:', '0199', 'test cost=', '0.650973439')
('Epoch:', '0200', 'training cost=', '0.657697080')
('Epoch:', '0200', 'test cost=', '0.643756449')
('Epoch:', '0201', 'training cost=', '0.655882794')
('Epoch:', '0201', 'test cost=', '0.641520500')
('Epoch:', '0202', 'training cost=', '0.655499455')
('Epoch:', '0202', 'test cost=', '0.645376623')
('Epoch:', '0203', 'training cost=', '0.656975138')
('Epoch:', '0203', 'test cost=', '0.641482890')
('Epoch:', '0204', 'training cost=', '0.657596534')
('Epoch:', '0204', 'test cost=', '0.647145510')
('Epoch:', '0205', 'training cost=', '0.657513985')
('Epoch:', '0205', 'test cost=', '0.660942614')
('Epoch:', '0206', 'training cost=', '0.658505475')
('Epoch:', '0206', 'test cost=', '0.640801370')
('Epoch:', '0207', 'training cost=', '0.656926006')
('Epoch:', '0207', 'test cost=', '0.647476315')
('Epoch:', '0208', 'training cost=', '0.659378599')
('Epoch:', '0208', 'test cost=', '0.641339183')
('Epoch:', '0209', 'training cost=', '0.653360343')
('Epoch:', '0209', 'test cost=', '0.645380378')
('Epoch:', '0210', 'training cost=', '0.658600497')
('Epoch:', '0210', 'test cost=', '0.647120833')
('Epoch:', '0211', 'training cost=', '0.657423904')
('Epoch:', '0211', 'test cost=', '0.645168006')
('Epoch:', '0212', 'training cost=', '0.653252204')
('Epoch:', '0212', 'test cost=', '0.670954108')
('Epoch:', '0213', 'training cost=', '0.657717535')
('Epoch:', '0213', 'test cost=', '0.640839636')
('Epoch:', '0214', 'training cost=', '0.657072998')
('Epoch:', '0214', 'test cost=', '0.643382311')
('Epoch:', '0215', 'training cost=', '0.655897610')
('Epoch:', '0215', 'test cost=', '0.644109786')
('Epoch:', '0216', 'training cost=', '0.656655715')
('Epoch:', '0216', 'test cost=', '0.646829724')
('Epoch:', '0217', 'training cost=', '0.655876002')
('Epoch:', '0217', 'test cost=', '0.656177878')
('Epoch:', '0218', 'training cost=', '0.665355964')
('Epoch:', '0218', 'test cost=', '0.650768876')
('Epoch:', '0219', 'training cost=', '0.657107423')
('Epoch:', '0219', 'test cost=', '0.653967500')
('Epoch:', '0220', 'training cost=', '0.659634138')
('Epoch:', '0220', 'test cost=', '0.641709745')
('Epoch:', '0221', 'training cost=', '0.660188351')
('Epoch:', '0221', 'test cost=', '0.654392600')
('Epoch:', '0222', 'training cost=', '0.656324825')
('Epoch:', '0222', 'test cost=', '0.648871005')
('Epoch:', '0223', 'training cost=', '0.658775241')
('Epoch:', '0223', 'test cost=', '0.641116381')
('Epoch:', '0224', 'training cost=', '0.656076932')
('Epoch:', '0224', 'test cost=', '0.649869025')
('Epoch:', '0225', 'training cost=', '0.655804961')
('Epoch:', '0225', 'test cost=', '0.645980954')
('Epoch:', '0226', 'training cost=', '0.656649577')
('Epoch:', '0226', 'test cost=', '0.642821014')
('Epoch:', '0227', 'training cost=', '0.655655316')
('Epoch:', '0227', 'test cost=', '0.650301099')
('Epoch:', '0228', 'training cost=', '0.659646388')
('Epoch:', '0228', 'test cost=', '0.640893042')
('Epoch:', '0229', 'training cost=', '0.654490734')
('Epoch:', '0229', 'test cost=', '0.769632399')
('Epoch:', '0230', 'training cost=', '0.657832212')
('Epoch:', '0230', 'test cost=', '0.642734766')
('Epoch:', '0231', 'training cost=', '0.655200871')
('Epoch:', '0231', 'test cost=', '0.642769873')
('Epoch:', '0232', 'training cost=', '0.654767246')
('Epoch:', '0232', 'test cost=', '0.652578413')
('Epoch:', '0233', 'training cost=', '0.656147645')
('Epoch:', '0233', 'test cost=', '0.680371761')
('Epoch:', '0234', 'training cost=', '0.658562856')
('Epoch:', '0234', 'test cost=', '0.640837908')
('Epoch:', '0235', 'training cost=', '0.653428861')
('Epoch:', '0235', 'test cost=', '0.660834193')
('Epoch:', '0236', 'training cost=', '0.654553747')
('Epoch:', '0236', 'test cost=', '0.642788231')
('Epoch:', '0237', 'training cost=', '0.654649789')
('Epoch:', '0237', 'test cost=', '0.657410562')
('Epoch:', '0238', 'training cost=', '0.659189392')
('Epoch:', '0238', 'test cost=', '0.641162395')
('Epoch:', '0239', 'training cost=', '0.657668388')
('Epoch:', '0239', 'test cost=', '0.643536210')
('Epoch:', '0240', 'training cost=', '0.654250948')
('Epoch:', '0240', 'test cost=', '0.645792544')
('Epoch:', '0241', 'training cost=', '0.653493452')
('Epoch:', '0241', 'test cost=', '0.648426056')
('Epoch:', '0242', 'training cost=', '0.657099907')
('Epoch:', '0242', 'test cost=', '0.641932547')
('Epoch:', '0243', 'training cost=', '0.658185050')
('Epoch:', '0243', 'test cost=', '0.647054493')
('Epoch:', '0244', 'training cost=', '0.658269906')
('Epoch:', '0244', 'test cost=', '0.675851285')
('Epoch:', '0245', 'training cost=', '0.658309719')
('Epoch:', '0245', 'test cost=', '0.676699400')
